user_id,Name,Age,Lat,Long,Time
0,Terisa,44,-11,-162,6
1,Sammie,39,-37,-175,5
2,Deedra,61,-29,-42,1
3,Mozella,44,-23,17,1
4,Corey,64,44,-13,4
5,Amberly,37,-79,43,10
6,Julie,53,3,-7,3
7,Danyelle,60,46,13,3
8,Danielle,45,61,-101,8
9,Malvina,55,-32,-28,6
10,Mignon,20,6,-180,7
11,Masako,34,13,-141,3
12,Yvette,33,18,-17,5
13,Jerome,57,-6,4,2
14,Celia,51,-14,-100,6
15,Alberta,74,82,-120,7
16,Keitha,22,-22,-64,2
17,Jess,53,-14,-63,7
18,Madison,66,-5,-1,10
19,Birdie,55,-81,-1,1
20,Maximina,35,-64,-130,6
21,Heather,67,87,38,9
22,Dori,29,-49,-126,11
23,Carita,56,53,-79,10
24,Andres,42,-16,-111,8
25,Flora,18,-66,-163,9
26,Devin,59,26,5,5
27,Tiffiny,59,72,48,5
28,Dena,40,-23,-149,7
29,Marcos,45,71,-88,4
30,Wilmer,43,4,-173,3
31,Carmela,39,-36,-66,9
32,Luci,51,-55,-38,10
33,Octavia,74,9,11,10
34,Altagracia,40,-15,-148,3
35,Thad,71,-62,-85,2
36,Abel,22,7,-152,6
37,Christene,66,60,79,9
38,Chanell,50,-23,51,3
39,Trinity,61,53,-124,3
40,Janae,61,16,-19,6
41,Dana,39,1,43,4
42,Madalene,57,70,-135,10
43,Jennifer,62,88,6,8
44,Joaquina,26,50,-94,10
45,Yuri,69,-84,-99,4
46,Ying,22,62,11,10
47,Katharyn,60,28,-22,11
48,Olevia,54,-90,-75,7
49,Marlo,26,-64,-89,5
50,Ma,55,-40,-50,10
51,Mirtha,49,-40,-26,4
52,Oscar,50,-3,-109,2
53,Louella,63,-14,-1,10
54,Sherlyn,44,-11,-102,2
55,Freida,26,-43,-26,5
56,Bell,39,66,-52,1
57,Thurman,20,48,44,6
58,Rodger,47,-34,-28,3
59,Ming,71,14,-93,11
60,Les,51,-60,-102,4
61,Walton,31,-85,30,10
62,Monica,61,-25,79,10
63,Alethia,51,-40,35,8
64,Erika,24,60,-177,5
65,Nu,71,-79,-101,5
66,Shirely,72,58,-179,1
67,Chantay,22,52,41,4
68,Wilson,36,0,-129,8
69,Chloe,44,65,-62,6
70,Bethanie,37,-64,-21,3
71,Shemika,42,-20,77,7
72,Sheldon,70,-80,-2,6
73,Lisette,66,18,36,1
74,Rosalee,27,53,47,5
75,Morton,23,-76,-50,1
76,Aleta,64,-42,19,11
77,Elayne,42,55,-54,3
78,Aracely,21,20,-20,11
79,Lanita,60,6,-156,7
80,Alice,23,9,19,6
81,Alexis,50,-16,-149,11
82,Marth,61,17,31,4
83,Lora,69,-30,-70,5
84,Sheridan,73,56,18,7
85,Vella,18,40,-135,7
86,Valery,24,-35,-170,5
87,Kathryn,54,61,48,11
88,Cassy,68,53,-66,5
89,Talitha,74,25,26,11
90,Pamelia,27,49,-133,6
91,Albertine,73,-86,-168,11
92,Dierdre,63,20,-7,9
93,Candice,53,-68,25,9
94,Kanesha,48,74,-153,10
95,Viva,66,62,-22,10
96,Arlene,51,-88,15,2
97,Ashli,38,0,-119,8
98,Tonisha,49,-37,2,5
99,Leatrice,24,6,46,9
